,character,role,movie,line,line_sw,line_sw_stem
5935,steve rogers,hero,captain america: the winter soldier,rumlow needed your help what the hell are you doing here you're saving shield intel,rumlow needed help hell saving shield intel,rumlow need help hell save shield intel
5936,natasha romanoff,hero,captain america: the winter soldier,whatever i can get my hands on,whatever get hands,whatev get hand
5937,steve rogers,hero,captain america: the winter soldier,our mission is to rescue hostages,mission rescue hostages,mission rescu hostag
5938,natasha romanoff,hero,captain america: the winter soldier,no that's your mission and you've done it beautifully,that's mission done beautifully,that' mission done beauti
5939,steve rogers,hero,captain america: the winter soldier,you just jeopardized this whole operation,jeopardized whole operation,jeopard whole oper
5940,natasha romanoff,hero,captain america: the winter soldier,i think that's overstating things okay that one's on me,think that's overstating things okay one's,think that' overst thing okay one'
5941,steve rogers,hero,captain america: the winter soldier,you're damn right you just can't stop yourself from lying can you,damn right can't stop lying,damn right can't stop lie
5943,steve rogers,hero,captain america: the winter soldier,which you didn't feel obliged to share,feel obliged share,feel oblig share
5945,steve rogers,hero,captain america: the winter soldier,those hostages could've died nick,hostages could've died nick,hostag could'v die nick
5947,steve rogers,hero,captain america: the winter soldier,soldiers trust each other that's what makes it an army not a bunch of guys running around and shooting guns,soldiers trust that's makes army bunch guys running around shooting guns,soldier trust that' make armi bunch guy run around shoot gun
5949,steve rogers,hero,captain america: the winter soldier,i can't lead a mission when the people i'm leading have missions of their owns,can't lead mission people i'm leading missions owns,can't lead mission peopl i'm lead mission own
5951,steve rogers,hero,captain america: the winter soldier,except you,except,except
5956,steve rogers,hero,captain america: the winter soldier,you know they used to play music,know used play music,know use play music
5958,steve rogers,hero,captain america: the winter soldier,did he ever get mugged,ever get mugged,ever get mug
5960,steve rogers,hero,captain america: the winter soldier,what did he do,,
5962,steve rogers,hero,captain america: the winter soldier,launched from the lemurian star,launched lemurian star,launch lemurian star
5964,steve rogers,hero,captain america: the winter soldier,stark,stark,stark
5966,steve rogers,hero,captain america: the winter soldier,i thought the punishment usually came after the crime,thought punishment usually came crime,thought punish usual came crime
5968,steve rogers,hero,captain america: the winter soldier,who's we,who's,who'
5970,steve rogers,hero,captain america: the winter soldier,by holding a gun at everyone on earth and calling it protection,holding gun everyone earth calling protection,hold gun everyon earth call protect
5972,steve rogers,hero,captain america: the winter soldier,yeah we compromised sometimes in ways that made us not sleep so well but we did it so the people could be free this isn't freedom this is fear,yeah compromised sometimes ways made us sleep well people could free freedom fear,yeah compromis sometim way made us sleep well peopl could free freedom fear
5974,steve rogers,hero,captain america: the winter soldier,don't hold your breath,hold breath,hold breath
5981,steve rogers,hero,captain america: the winter soldier,you should be proud of yourself peggy,proud peggy,proud peggi
5983,steve rogers,hero,captain america: the winter soldier,for as long as i can remember i just wanted to do what was right i guess i'm not quite sure what that is anymore and i thought i could throw myself back in and follow orders serve it's just not the same,long remember wanted right guess i'm quite sure anymore thought could throw back follow orders serve,long rememb want right guess i'm quit sure anymor thought could throw back follow order serv
5985,steve rogers,hero,captain america: the winter soldier,you didn't knowing that you helped found shield is half the reason i stay,knowing helped found shield half reason stay,know help found shield half reason stay
5987,steve rogers,hero,captain america: the winter soldier,peggy,peggy,peggi
5989,steve rogers,hero,captain america: the winter soldier,yeah,yeah,yeah
5991,steve rogers,hero,captain america: the winter soldier,yeah peggy,yeah peggy,yeah peggi
5993,steve rogers,hero,captain america: the winter soldier,well i couldn't leave my best girl not when she owes me a dance,well leave best girl owes dance,well leav best girl owe danc
6032,steve rogers,hero,captain america: the winter soldier,caught the last few minutes it's pretty intense,caught last minutes pretty intense,caught last minut pretti intens
6034,steve rogers,hero,captain america: the winter soldier,you lose someone,lose someone,lose someon
6036,steve rogers,hero,captain america: the winter soldier,i'm sorry,i'm sorry,i'm sorri
6038,steve rogers,hero,captain america: the winter soldier,but you're happy now back in the world,happy back world,happi back world
6040,steve rogers,hero,captain america: the winter soldier,no i don't know to be honest i don't know what i would do with myself if i did,know honest know would,know honest know would
6042,steve rogers,hero,captain america: the winter soldier,i don't know,know,know
6074,steve rogers,hero,captain america: the winter soldier,hey if you want if you want you're welcome to use my machine might be cheaper than the one in the basement,hey want want welcome use machine might cheaper one basement,hey want want welcom use machin might cheaper one basement
6076,steve rogers,hero,captain america: the winter soldier,a cup of coffee,cup coffee,cup coffe
6078,steve rogers,hero,captain america: the winter soldier,ah well i'll keep my distance,ah well i'll keep distance,ah well i'll keep distanc
6080,steve rogers,hero,captain america: the winter soldier,oh right thank you,oh right thank,oh right thank
6082,steve rogers,hero,captain america: the winter soldier,i don't remember giving you a key,remember giving key,rememb give key
6084,steve rogers,hero,captain america: the winter soldier,didn't know you were married,know married,know marri
6086,steve rogers,hero,captain america: the winter soldier,i know nick that's the problem,know nick that's problem,know nick that' problem
6088,steve rogers,hero,captain america: the winter soldier,who else knows about your wife,else knows wife,els know wife
6090,steve rogers,hero,captain america: the winter soldier,is that what we are,,
6093,steve rogers,hero,captain america: the winter soldier,kate,kate,kate
6095,steve rogers,hero,captain america: the winter soldier,on whose order,whose order,whose order
6098,steve rogers,hero,captain america: the winter soldier,tell him i'm in pursuit,tell i'm pursuit,tell i'm pursuit
6099,natasha romanoff,hero,captain america: the winter soldier,is he gonna make it,gonna make,gonna make
6100,steve rogers,hero,captain america: the winter soldier,i don't know,know,know
6101,natasha romanoff,hero,captain america: the winter soldier,tell me about the shooter,tell shooter,tell shooter
6102,steve rogers,hero,captain america: the winter soldier,he's fast and strong had a metal arm,he's fast strong metal arm,he' fast strong metal arm
6103,natasha romanoff,hero,captain america: the winter soldier,ballistics,ballistics,ballist
6105,natasha romanoff,hero,captain america: the winter soldier,soviet made,soviet made,soviet made
6112,natasha romanoff,hero,captain america: the winter soldier,don't do this to me nick,nick,nick
6118,natasha romanoff,hero,captain america: the winter soldier,don't do this to me nick don't do this to me,nick,nick
6123,steve rogers,hero,captain america: the winter soldier,natasha natasha,natasha natasha,natasha natasha
6124,natasha romanoff,hero,captain america: the winter soldier,why was fury in your apartment,fury apartment,furi apart
6125,steve rogers,hero,captain america: the winter soldier,i don't know,know,know
6127,steve rogers,hero,captain america: the winter soldier,yeah give me a second,yeah give second,yeah give second
6129,steve rogers,hero,captain america: the winter soldier,okay,okay,okay
6130,natasha romanoff,hero,captain america: the winter soldier,you're a terrible liar,terrible liar,terribl liar
6133,steve rogers,hero,captain america: the winter soldier,let's go,let's go,let' go
6137,steve rogers,hero,captain america: the winter soldier,neighbor,neighbor,neighbor
